# z hist dens F
-3.3077810316374805 1679 0.0021851167391134596 -7.425953657077541
-3.2402752962979404 1693 0.0022033368906010046 -7.4342573821331355
-3.1727695609584 1485 0.0019326374970717614 -7.3031700512368
-3.1052638256188594 1573 0.0020471641635649027 -7.360739903058278
-3.0377580902793193 1622 0.002110934693771311 -7.3914152346753585
-2.9702523549397783 1594 0.0020744943907962205 -7.374001859350161
-2.9027466196002383 1583 0.0020601785574845778 -7.367077059881012
-2.8352408842606978 1525 0.001984695072750462 -7.329749689041512
-2.7677351489211572 1501 0.0019534605273432417 -7.313886831633462
-2.700229413581617 1419 0.0018467424972019053 -7.257707677160043
-2.6327236782420766 1396 0.0018168093911866525 -7.241366283322318
-2.565217942902536 1199 0.0015604258309690519 -7.089243155027514
-2.4977122075629956 1139 0.0014823394674510007 -7.037905963447182
-2.430206472223455 957 0.001245477498112913 -6.863803391452954
-2.362700736883915 782 0.0010177256045185976 -6.661854740545311
-2.2951950015443745 639 0.0008316197714672428 -6.459904454377535
-2.227689266204834 561 0.0007301074988937765 -6.329720905522696
-2.1601835308652935 502 0.0006533225747676931 -6.218600119691729
-2.092677795525753 476 0.0006194851505765377 -6.16541785423142
-2.025172060186213 528 0.0006871599989588485 -6.269096283706261
-1.9576663248466724 714 0.0009292277258648064 -6.570882962339584
-1.8901605895071318 954 0.0012415731799370103 -6.860663671448287
-1.8226548541675915 1164 0.0015148754522501886 -7.059617628291383
-1.755149118828051 1534 0.0019964080272781696 -7.335633981927201
-1.6876433834885107 2043 0.002658840677789635 -7.622174594817622
-1.6201376481489702 2865 0.0037286238579869336 -7.9603236291488395
-1.5526319128094297 3883 0.005053489159009865 -8.264363329731667
-1.4851261774698894 5240 0.0068195424139097845 -8.564076777315087
-1.417620442130349 6769 0.008809443244228117 -8.820108644508608
-1.3501147067908086 8578 0.011163747104297354 -9.056956065076825
-1.2826089714512683 9876 0.012853015435071188 -9.19786285046507
-1.2151032361117278 11424 0.014867643613836903 -9.343471684579365
-1.1475975007721873 12302 0.016010307399984384 -9.417517129768314
-1.0800917654326467 13020 0.016944740883417058 -9.47424191576256
-1.0125860300931064 13158 0.017124339519508577 -9.484785217645943
